mjd	boresight_ra	boresight_decl	rotation	band	exptime	seeing	sky	depth
61190.25445996136	273.804470770382	-48.71493743084283	340.6759582030559	y	30.0	1.0441595724873576	18.237564869983686	21.936550079830134
61190.254950770475	267.4213720667594	-51.634957153623574	323.7739766168338	y	30.0	0.9432464453735827	18.19674621273088	22.02452012715675
61190.255414215746	271.8967263547039	-51.59589867608324	332.89942584095115	y	30.0	0.9434368021375301	18.216064556306936	22.033455890210472
61190.25587006531	269.71001395975406	-54.449904304586305	325.64878601213707	y	30.0	0.9549343798966687	18.192355182711054	22.005277721926912
61190.25633216751	274.4840828441372	-54.309949042036706	334.42706025543464	y	30.0	0.9555954685482441	18.227136807174297	22.02090257351809
61190.25679217022	279.2258350662603	-53.988422812105036	342.67611697921734	y	30.0	0.9575064709818831	18.241730724013184	22.025066821898047
61190.25724987426	283.8946680472243	-53.489119163643174	350.3646176959248	y	30.0	0.9607038873018898	18.252929094079594	22.025740048186787
61190.257699708716	282.3845154409908	-56.50927075650738	344.445865415299	y	30.0	0.9721680143088164	18.246330815016815	22.00597028235152
61190.25815938894	277.32418967787106	-56.95219829247475	336.2766387712511	y	30.0	0.96945201632596	18.217780192197257	21.99629295719894
61190.25862101425	272.18668360017074	-57.199728863189385	327.62002024854604	y	30.0	1.051356932895416	18.202771997980427	21.901427036641753
61190.25908429698	267.020035302385	-57.24616045173145	318.53694392730904	y	30.0	1.0519326372831963	18.185963781044894	21.892636363639042
61190.259548904796	261.87026442869643	-57.087466677831245	309.1055482591214	y	30.0	1.0542322779778721	18.1506934970494	21.872718349861827
61190.26000640305	257.95913227170746	-59.56711668376188	301.466268445233	y	30.0	1.0730329643331877	18.140690998322775	21.84302910056306
61190.26047221757	263.607655296889	-59.916242763080625	311.2205670067951	y	30.0	1.0698773448433188	18.159064838270044	21.855976439270055
61190.260967801696	274.9360654749384	-59.87278752891507	329.83520875552097	y	30.0	1.0678765930341894	18.21223419883292	21.88400596359983
61190.26142135212	271.8617336478748	-62.70583336677724	323.1095968469957	y	30.0	1.0863581997751015	18.18498170362926	21.846706559884854
61190.26188703985	265.5614146395314	-62.68127498274923	313.3894822385586	y	30.0	1.112674454182085	18.162342136301355	21.80949490064399
61190.262353719234	259.26921353494686	-62.362652271798055	303.4004103115178	y	30.0	1.1159216562273835	18.133998543920406	21.791796629418766
61190.26282098985	253.07885904068007	-61.72246223928878	293.2492364959803	y	30.0	1.1210116124510727	18.11266451394191	21.77510325333159
61190.26326783944	253.90417312656191	-64.49347020691872	294.92881463016846	y	30.0	1.1400146534752564	18.10631524212725	21.74802027666823
61190.26377096463	267.8682910015074	-65.38870225026022	315.8238741986193	y	30.0	1.1331583777779968	18.154220546069112	21.77959186313911
61190.26423815122	274.9012927889205	-65.3188938544669	325.9519313797723	y	30.0	1.1321668585546087	18.158544933524638	21.78291213943362
61190.26469385972	270.7000126616333	-68.03603243735974	318.73407337603436	y	30.0	1.1559583496210921	18.14601147412365	21.74703177832948
61190.26626575561	258.2744610092123	0.649749973290772	141.45936844253114	y	30.0	1.1467172609715632	18.053423186628887	21.72212516030937
61190.266712289034	255.4471107678501	0.8346893565645079	145.1521156738087	y	30.0	1.1598781390204829	18.015868831888955	21.68778517019828
